source,cnt,country,lat,lon
02722,2776,USA,41.701389,-71.155556
03063,399,USA,42.771686,-71.513156
06095,3565,USA,41.856122,-72.663893
07008,6827,USA,40.582278,-74.231345
08085,364,USA,39.752853,-75.336202
08512,283,USA,40.303868,-74.506531
08691,2682,USA,40.231785,-74.606262
08817,3612,USA,40.517079,-74.397286
17015,485,USA,40.185099,-77.217413
17339,71,USA,40.146295,-76.870004
18031,2229,USA,40.552621,-75.655269
18045,118,USA,40.6853,-75.2678
18424,32,USA,41.2448,-75.503653
19709,1392,USA,39.481535,-75.683183
19720,195,USA,39.67703,-75.589938
21224,2559,USA,39.287558,-76.556831
21901,515,USA,39.604535,-75.953805
23836,792,USA,37.356667,-77.441944
29172,325,USA,33.900022,-81.091008
29303,13,USA,34.993728,-81.957566
30122,3,USA,33.793889,-84.660556
32218,584,USA,30.45067,-81.662631
33570,176,USA,27.701501,-82.435501
33811,86,USA,27.966284,-82.007236
37090,58,USA,36.1435,-86.3141
37127,285,USA,35.7913,-86.357
37310,61,USA,35.255644,-84.766639
37416,169,USA,35.094246,-85.175656
40165,258,USA,38.004515,-85.688767
40511,139,USA,38.093233,-84.500671
41048,388,USA,39.07553,-84.700745
42718,294,USA,37.346618,-85.350755
43018,962,USA,39.957222,-82.681944
43125,169,USA,39.858137,-82.887219
46075,598,USA,40.00002,-86.350716
46168,164,USA,39.716036,-86.395061
46231,196,USA,39.740637,-86.318289
47130,729,USA,38.307767,-85.735885
48150,41,USA,42.361503,-83.36494
53144,595,USA,42.605788,-87.876171
55379,239,USA,44.7793,-93.519748
60085,2,USA,42.361882,-87.852585
60433,654,USA,41.511873,-88.05687
60446,84,USA,41.6475,-88.089444
60449,669,USA,41.419133,-87.77484
62025,136,USA,38.804967,-89.963697
66021,41,USA,38.781084,-95.009377
66102,167,USA,39.113247,-94.669337
75019,40,USA,32.96727,-96.980516
76177,364,USA,32.901017,-97.332671
77090,497,USA,30.016673,-95.447002
78154,74,USA,29.568159,-98.272214
78666,548,USA,29.875359,-97.940418
85043,332,USA,33.449056,-112.197245
85338,14,USA,33.436809,-112.383385
89506,29,USA,39.641168,-119.873505
91752,68,USA,33.993845,-117.523574
92374,15,USA,34.064989,-117.167182
92376,74,USA,34.113155,-117.377133
92408,342,USA,34.083127,-117.271059
92551,385,USA,33.8858,-117.2211
95304,197,USA,37.754444,-121.369722
95363,43,USA,37.490592,-121.140732
95391,87,USA,37.7647,-121.5547
95837,236,USA,38.681726,-121.60297
98032,358,USA,47.377633,-122.285362
98327,61,USA,47.096944,-122.63
