destination,cnt,country,lat,lon
01085,1,USA,42.129484,-72.754318
01113,1,USA,none,none
01230,1,USA,42.195922,-73.36065
01420,1522,USA,42.579563,-71.803133
01430,436,USA,42.649614,-71.92666
01431,254,USA,42.674462,-71.817369
01432,650,USA,42.55914,-71.578763
01434,58,USA,42.546667,-71.598333
01440,826,USA,42.57405,-71.9898
01450,1057,USA,42.612351,-71.558371
01451,503,USA,42.498565,-71.575293
01452,306,USA,42.486538,-72.001159
01453,1906,USA,42.52744,-71.756308
01460,150,USA,42.540132,-71.487667
01462,858,USA,42.58843,-71.726642
01463,872,USA,42.668888,-71.593392
01464,457,USA,42.558653,-71.646444
01468,277,USA,42.545976,-72.064971
01469,505,USA,42.652511,-71.689646
01473,575,USA,42.548319,-71.909599
01474,145,USA,42.670404,-71.74057
01475,495,USA,42.678943,-72.047524
01501,1030,USA,42.205502,-71.839144
01503,225,USA,42.384438,-71.635634
01504,72,USA,42.028708,-71.52691
01505,383,USA,42.337727,-71.731042
01506,189,USA,42.199141,-72.098887
01507,893,USA,42.137902,-71.966384
01508,2,USA,42.145833,-71.988889
01510,664,USA,42.418147,-71.682847
01516,599,USA,42.060566,-71.726611
01519,90,USA,42.200371,-71.686848
01520,1027,USA,42.341983,-71.84142
01522,302,USA,42.375519,-71.87058
01523,479,USA,42.450984,-71.686831
01524,360,USA,42.237047,-71.918829
01527,671,USA,42.196779,-71.764438
01529,27,USA,42.033102,-71.579813
01532,197,USA,42.318242,-71.646372
01534,88,USA,42.1494,-71.656366
01535,323,USA,42.266455,-72.082129
01536,85,USA,42.229726,-71.703691
01537,118,USA,42.16549,-71.885953
01540,592,USA,42.11285,-71.868677
01541,289,USA,42.450812,-71.876245
01543,696,USA,42.376199,-71.948951
01545,381,USA,42.284801,-71.720503
01560,56,USA,42.176042,-71.692725
01562,626,USA,42.244103,-71.990617
01564,452,USA,42.435351,-71.775192
01566,1,USA,42.112619,-72.084233
01568,110,USA,42.173275,-71.608014
01569,115,USA,42.074426,-71.632869
01570,739,USA,42.047574,-71.839467
01571,564,USA,42.048894,-71.893228
01581,217,USA,42.267891,-71.617604
01583,344,USA,42.35836,-71.783822
01588,466,USA,42.115319,-71.664357
01590,544,USA,42.140586,-71.748416
01602,1287,USA,42.270251,-71.841678
01603,597,USA,42.245033,-71.837995
01604,249,USA,42.254084,-71.774626
01605,159,USA,42.289391,-71.788795
01606,148,USA,42.311029,-71.795774
01607,237,USA,42.230294,-71.793837
01608,130,USA,42.262425,-71.800262
01609,975,USA,42.275387,-71.817456
01610,553,USA,42.249186,-71.810798
01611,91,USA,42.237287,-71.874971
01612,321,USA,42.306646,-71.920234
01613,77,USA,42.2625,-71.8027
01655,1,USA,42.2625,-71.8027
01701,398,USA,42.300665,-71.425486
01702,255,USA,42.2844,-71.4295
01718,4,USA,42.514941,-71.422354
01719,91,USA,42.486876,-71.518229
01720,341,USA,42.475076,-71.448255
01721,257,USA,42.253909,-71.458347
01730,1357,USA,42.484287,-71.276796
01731,306,USA,42.464444,-71.284167
01740,482,USA,42.436523,-71.607593
01741,605,USA,42.528562,-71.351892
01742,284,USA,42.456701,-71.374741
01745,5,USA,42.293221,-71.502256
01746,160,USA,42.202641,-71.436059
01747,57,USA,42.126796,-71.537601
01748,294,USA,42.219046,-71.530178
01749,225,USA,42.391796,-71.560896
01752,400,USA,42.350861,-71.543355
01754,142,USA,42.432118,-71.454975
01756,76,USA,42.096744,-71.549882
01757,248,USA,42.151142,-71.527402
01760,506,USA,42.287476,-71.35741
01770,76,USA,42.233088,-71.378717
01772,137,USA,42.293919,-71.531997
01773,101,USA,42.421723,-71.313723
