Destination,Count,State,City,County,Country
40511,92,KY,Lexington,Fayette,USA
40165,18,KY,Shepherdsville,Bullitt,USA
41048,15,KY,Hebron,Boone,USA
02115,14,MA,Boston,Suffolk,USA
89030,9,NV,North Las Vegas,Clark,USA
02116,8,MA,Boston,Suffolk,USA
01852,7,MA,Lowell,Middlesex,USA
05641,7,VT,Barre,Washington,USA
02840,7,RI,Newport,Newport,USA
03820,6,NH,Dover,Strafford,USA
02118,6,MA,Boston,Suffolk,USA
03053,6,NH,Londonderry,Rockingham,USA
05401,6,VT,Burlington,Chittenden,USA
02135,5,MA,Brighton,Suffolk,USA
01930,5,MA,Gloucester,Essex,USA
02145,5,MA,Somerville,Middlesex,USA
01886,5,MA,Westford,Middlesex,USA
02144,5,MA,Somerville,Middlesex,USA
01923,5,MA,Danvers,Essex,USA
02563,5,MA,Sandwich,Barnstable,USA
02215,5,MA,Boston,Suffolk,USA
04401,5,ME,Bangor,Penobscot,USA
02139,5,MA,Cambridge,Middlesex,USA
03561,5,NH,Littleton,Grafton,USA
04103,5,ME,Portland,Cumberland,USA
03835,5,NH,Farmington,Strafford,USA
02163,5,MA,Boston,Suffolk,USA
03102,5,NH,Manchester,Hillsborough,USA
