zip,category,country,lat,lon
40511,1,USA,38.093233,-84.500671
02119,0,USA,42.322414,-71.086923
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
02638,0,USA,41.732166,-70.191054
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
02134,0,USA,42.353519,-71.132866
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
01842,0,USA,42.706944,-71.163611
01840,0,USA,42.707958,-71.16381
01845,0,USA,42.682583,-71.109004
01844,0,USA,42.728019,-71.181031
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
03106,0,USA,43.061708,-71.444446
03079,0,USA,42.78465,-71.21761
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
46242,0,USA,39.7279,-86.2559
02150,0,USA,42.396252,-71.032521
02128,0,USA,42.378137,-71.028682
02148,0,USA,42.42911,-71.060507
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
04005,0,USA,43.483647,-70.471928
04072,0,USA,43.520946,-70.454632
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
02026,0,USA,42.243685,-71.163741
02062,0,USA,42.186843,-71.203313
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
02904,0,USA,41.860461,-71.438102
02903,0,USA,41.820002,-71.415801
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
01613,0,USA,42.2625,-71.8027
01603,0,USA,42.245033,-71.837995
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
01701,0,USA,42.300665,-71.425486
01702,0,USA,42.2844,-71.4295
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
04101,0,USA,43.660564,-70.258864
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
04070,0,USA,43.578056,-70.322222
04074,0,USA,43.583476,-70.345668
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
01420,0,USA,42.579563,-71.803133
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
46242,0,USA,39.7279,-86.2559
02155,0,USA,42.417335,-71.108686
02151,0,USA,42.413767,-71.005165
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
04210,0,USA,44.094785,-70.238978
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
46242,0,USA,39.7279,-86.2559
02122,0,USA,42.297278,-71.058304
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
02119,0,USA,42.322414,-71.086923
02121,0,USA,42.307503,-71.08305
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
02110,0,USA,42.357636,-71.051417
02205,0,USA,42.348,-71.0551
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
02571,0,USA,41.754084,-70.711594
02360,0,USA,41.910404,-70.642004
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
02748,0,USA,41.591728,-70.956521
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
02155,0,USA,42.417335,-71.108686
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
02895,0,USA,41.99948,-71.513683
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
40511,1,USA,38.093233,-84.500671
02148,0,USA,42.42911,-71.060507
02072,0,USA,42.125279,-71.107357
07008,1,USA,40.582278,-74.231345
