destination,cnt,country
01085,1,USA
01113,1,USA
01230,1,USA
01420,1522,USA
01430,436,USA
01431,254,USA
01432,650,USA
01434,58,USA
01440,826,USA
01450,1057,USA
01451,503,USA
01452,306,USA
01453,1906,USA
01460,150,USA
01462,858,USA
01463,872,USA
01464,457,USA
01468,277,USA
01469,505,USA
01473,575,USA
01474,145,USA
01475,495,USA
01501,1030,USA
01503,225,USA
01504,72,USA
01505,383,USA
01506,189,USA
01507,893,USA
01508,2,USA
01510,664,USA
01516,599,USA
01519,90,USA
01520,1027,USA
01522,302,USA
01523,479,USA
01524,360,USA
01527,671,USA
01529,27,USA
01532,197,USA
01534,88,USA
01535,323,USA
01536,85,USA
01537,118,USA
01540,592,USA
01541,289,USA
01543,696,USA
01545,381,USA
01560,56,USA
01562,626,USA
01564,452,USA
01566,1,USA
01568,110,USA
01569,115,USA
01570,739,USA
01571,564,USA
01581,217,USA
01583,344,USA
01588,466,USA
01590,544,USA
01602,1287,USA
01603,597,USA
01604,249,USA
01605,159,USA
01606,148,USA
01607,237,USA
01608,130,USA
01609,975,USA
01610,553,USA
01611,91,USA
01612,321,USA
01613,77,USA
01655,1,USA
01701,398,USA
01702,255,USA
01718,4,USA
01719,91,USA
01720,341,USA
01721,257,USA
01730,1357,USA
01731,306,USA
01740,482,USA
01741,605,USA
01742,284,USA
01745,5,USA
01746,160,USA
01747,57,USA
01748,294,USA
01749,225,USA
01752,400,USA
01754,142,USA
01756,76,USA
01757,248,USA
01760,506,USA
01770,76,USA
01772,137,USA
01773,101,USA
01775,125,USA
01776,280,USA
01778,206,USA
01801,1401,USA
01803,926,USA
01810,2761,USA
01821,2021,USA
01824,2103,USA
01826,1701,USA
01827,299,USA
01830,1084,USA
01831,4,USA
01832,1095,USA
01833,715,USA
01834,517,USA
01835,843,USA
01840,85,USA
01841,731,USA
01842,9,USA
01843,709,USA
01844,2240,USA
01845,2096,USA
01850,442,USA
01851,1010,USA
01852,1397,USA
01853,15,USA
01854,1121,USA
01860,453,USA
01862,675,USA
01863,574,USA
01864,1303,USA
01867,857,USA
01876,2125,USA
01879,860,USA
01880,983,USA
01886,2168,USA
01887,1808,USA
01888,6,USA
01890,1021,USA
01901,71,USA
01902,850,USA
01903,2,USA
01904,606,USA
01905,489,USA
01906,1001,USA
01907,1295,USA
01908,205,USA
01913,1096,USA
01915,3040,USA
01921,784,USA
01922,262,USA
01923,1604,USA
01929,348,USA
01930,2203,USA
01931,2,USA
01936,5,USA
01938,1171,USA
01940,582,USA
01944,625,USA
01945,2085,USA
01949,581,USA
01950,1570,USA
01951,324,USA
01952,451,USA
01960,1702,USA
01961,2,USA
01965,3,USA
01966,649,USA
01969,500,USA
01970,2492,USA
01982,691,USA
01983,566,USA
01984,410,USA
01985,412,USA
02019,163,USA
02021,422,USA
02025,903,USA
02026,498,USA
02030,87,USA
02032,82,USA
02035,193,USA
02038,347,USA
02043,447,USA
02045,609,USA
02047,1,USA
02048,244,USA
02050,1617,USA
02052,184,USA
02053,152,USA
02054,108,USA
02056,143,USA
02059,1,USA
02061,182,USA
02062,444,USA
02065,2,USA
02066,1596,USA
02067,353,USA
02072,368,USA
02081,213,USA
02090,282,USA
02093,120,USA
02108,318,USA
02109,377,USA
02110,299,USA
02111,375,USA
02112,6,USA
02113,466,USA
02114,962,USA
02115,1185,USA
02116,1407,USA
02117,9,USA
02118,855,USA
02119,352,USA
02120,443,USA
02121,190,USA
02122,374,USA
02123,2,USA
02124,505,USA
02125,584,USA
02126,159,USA
02127,1078,USA
02128,1031,USA
02129,798,USA
02130,1169,USA
02131,482,USA
02132,517,USA
02133,1,USA
02134,1216,USA
02135,1256,USA
02136,376,USA
02137,1,USA
02138,2145,USA
02139,2364,USA
02140,1029,USA
02141,709,USA
02142,264,USA
02143,1634,USA
02144,1650,USA
02145,1037,USA
02148,1847,USA
02149,936,USA
02150,554,USA
02151,1158,USA
02152,624,USA
02154,6,USA
02155,2412,USA
02163,104,USA
02169,1021,USA
02170,269,USA
02171,298,USA
02176,1202,USA
02180,757,USA
02184,516,USA
02185,2,USA
02186,470,USA
02188,186,USA
02189,205,USA
02190,266,USA
02191,90,USA
02199,86,USA
02201,1,USA
02203,4,USA
02204,2,USA
02205,46,USA
02210,345,USA
02215,1039,USA
02222,1,USA
02269,1,USA
02301,388,USA
02302,248,USA
02303,9,USA
02304,1,USA
02305,2,USA
02322,73,USA
02324,1605,USA
02325,3,USA
02330,692,USA
02331,18,USA
02332,1286,USA
02333,1000,USA
02338,469,USA
02339,217,USA
02340,1,USA
02341,635,USA
02343,121,USA
02346,1409,USA
02347,918,USA
02349,1,USA
02351,223,USA
02356,278,USA
02357,5,USA
02359,1120,USA
02360,3694,USA
02361,1,USA
02362,21,USA
02364,994,USA
02367,212,USA
02368,343,USA
02370,226,USA
02375,178,USA
02379,124,USA
02382,191,USA
02420,749,USA
02421,821,USA
02445,630,USA
02446,919,USA
02447,1,USA
02451,599,USA
02452,234,USA
02453,625,USA
02454,5,USA
02457,1,USA
02458,314,USA
02459,433,USA
02460,208,USA
02461,190,USA
02462,43,USA
02464,75,USA
02465,242,USA
02466,176,USA
02467,528,USA
02468,181,USA
02471,1,USA
02472,797,USA
02474,1334,USA
02475,1,USA
02476,855,USA
02478,1171,USA
02479,2,USA
02481,253,USA
02482,165,USA
02492,459,USA
02493,204,USA
02494,233,USA
02532,788,USA
02536,1360,USA
02537,497,USA
02538,179,USA
02539,1,USA
02540,610,USA
02542,64,USA
02543,98,USA
02556,285,USA
02559,235,USA
02562,204,USA
02563,870,USA
02571,522,USA
02575,1,USA
02576,204,USA
02601,808,USA
02630,97,USA
02631,837,USA
02632,731,USA
02633,468,USA
02635,274,USA
02638,251,USA
02639,193,USA
02642,406,USA
02644,337,USA
02645,878,USA
02648,554,USA
02649,1107,USA
02652,34,USA
02653,463,USA
02655,335,USA
02657,718,USA
02660,406,USA
02663,4,USA
02664,574,USA
02666,39,USA
02667,266,USA
02668,254,USA
02673,570,USA
02675,462,USA
02702,303,USA
02703,356,USA
02715,265,USA
02717,343,USA
02718,346,USA
02719,911,USA
02720,1214,USA
02721,757,USA
02722,9,USA
02723,409,USA
02724,488,USA
02725,129,USA
02726,927,USA
02738,328,USA
02739,376,USA
02740,1294,USA
02743,540,USA
02744,254,USA
02745,985,USA
02746,273,USA
02747,1030,USA
02748,660,USA
02760,266,USA
02762,83,USA
02763,28,USA
02764,248,USA
02766,225,USA
02767,886,USA
02769,680,USA
02770,438,USA
02771,917,USA
02777,902,USA
02779,467,USA
02780,2028,USA
02790,898,USA
02806,1230,USA
02809,1385,USA
02812,100,USA
02813,598,USA
02814,490,USA
02816,1791,USA
02817,443,USA
02818,1546,USA
02822,421,USA
02825,367,USA
02827,161,USA
02828,440,USA
02829,2,USA
02830,464,USA
02831,220,USA
02832,278,USA
02835,620,USA
02836,6,USA
02837,325,USA
02838,144,USA
02840,1844,USA
02841,7,USA
02842,1230,USA
02852,1663,USA
02857,575,USA
02858,25,USA
02859,428,USA
02860,1292,USA
02861,1116,USA
02862,3,USA
02863,319,USA
02864,1865,USA
02865,1183,USA
02871,1328,USA
02874,496,USA
02878,1116,USA
02879,1737,USA
02880,6,USA
02881,354,USA
02882,1168,USA
02885,606,USA
02886,1707,USA
02887,3,USA
02888,1226,USA
02889,1477,USA
02892,437,USA
02893,1305,USA
02895,1269,USA
02896,677,USA
02903,830,USA
02904,1232,USA
02905,1001,USA
02906,2248,USA
02907,542,USA
02908,1007,USA
02909,962,USA
02910,1042,USA
02911,600,USA
02912,179,USA
02914,665,USA
02915,737,USA
02916,418,USA
02917,912,USA
02918,154,USA
